job_title,job_dq,job_tag,job_salary,job_labels,company,company_field,company_size,hr,hr_pos
Java开发工程师,杭州-余杭区,急聘,11-17k·13薪,"1-3年,统招本科,分布式,spring,java,mybatis,数据库,redis,linux,mongodb",杭州思普盟网络科技有限公司,计算机软件,B轮,许女士,
JAVA开发工程师,北京-丰台区,急聘,15-25k·13薪,"3-5年,统招本科,分布式,spring,java,mysql,mybatis,数据库,oracle,linux,postgresql",北京易联达商务服务有限公司,计算机软件,100-499人,寇女士,招聘经理
Java开发工程师,广州-天河区,急聘,15-25k·14薪,"3-5年,本科,通信领域,架构设计,需求分析,关系型数据库,UML,JSON",天翼数字生活科技有限公司,互联网/电商,1000-2000人,潘女士,招聘专员
JAVA微服务高级工程师,大连,,15-25k·15薪,"5-10年,本科及以上,Java,微服务",知名跨国IT公司,计算机软件,融资未公开,龚女士,猎头顾问
Java Developer,天津-滨海新区,,15-25k·13薪,"3-5年,统招本科,Koa,j2me,J2SE,SQL,Java",某知名公司,计算机软件,不需要融资,丁先生,猎头顾问
大学java讲师带薪寒假8-12K,常德-武陵区,,8-12k,"1-3年,统招本科",湖北美和易思教育科技有限公司湖南分公司,专业服务,1000-2000人,邹女士,
java架构师,深圳-南山区,,25-40k,"5-10年,统招本科,java,spring,mysql,linux,redis,mybatis,sql",诺博医疗,医疗器械,C轮,刘女士,人事行政经理
高级java工程师,深圳-南山区,,18-30k,"5-10年,本科,spring,java,mysql,mybatis,数据库,redis,linux,sql,git,shell",诺博医疗,医疗器械,C轮,刘女士,人事行政经理
Java资深/架构师/总监,深圳,,35-70k·14薪,"10年以上,本科",跨越速运,交通/物流/运输,10000人以上,郭先生,招聘专家
java高级开发工程师,杭州-余杭区,,17-23k·13薪,"5-10年,统招本科,spring,java,mysql,mybatis,redis,linux",杭州思普盟网络科技有限公司,计算机软件,B轮,许女士,
JAVA开发工程师（DHR),广州-天河区,,12-25k·13薪,"3-5年,本科,Java,元数据,权限,流程引擎",中数通信息,通信技术提供商,1000-2000人,杨女士,中数通HR@杨
Java开发工程师【深圳】,深圳-南山区,,15-26k·13薪,"3-5年,统招本科,java,mysql,数据库,redis,sql,mongodb",兴海物联,人工智能,其他,毛女士,招聘管理岗
java高级工程师,上海,,20-30k·17薪,"1-3年,统招本科,spring,java,mysql,mybatis,redis,oracle,sql",Onchain,互联网金融,A轮,杨女士,HRM
java技术经理,武汉,,20-25k·15薪,"5-10年,统招本科,Spark,服务器开发,JVM,系统开发,模块开发,Kafka,Hadoop,Elasticsearch,MongoDB,关系型数据库",某武汉制药上市公司,制药/生物工程,已上市,顾颖斌,猎头顾问
java后端开发,温州-鹿城区,,6-12k,"3-5年,本科,Web开发,Struts,商业信息化,Hibernate,VR开发,Spring,框架设计,框架开发,架构设计,R语言",杰翎健康,IT服务,融资未公开,甘女士,人事职员
JAVA开发工程师（供应链）,广州-天河区,,12-22k·13薪,"3-5年,本科,Java",中数通信息,通信技术提供商,1000-2000人,杨女士,中数通HR@杨
java开发工程师,深圳-宝安区,,18-30k,"3-5年,本科,系统开发,MySQL,Spring",唯景互娱,计算机软件,50-99人,蒋女士,HR
Java开发工程师,郑州-金水区,,6-12k·13薪,"1-3年,统招本科,系统开发,SpringMVC,Mybatis,IT/信息化领域,J2EE,Java",北京思诺博信息技术有限公司,ERP,融资未公开,姚女士,人事经理
IBM对日高级开发顾问（Java方向）,大连-旅顺口区,,18-30k·13薪,"经验不限,本科,项目管理,架构设计",国际商业机器全球服务(大连)有限公司,IT服务,10000人以上,王先生,Talent Acquisition Manager
后端开发工程师(J10275),北京-海淀区,,20-30k·14薪,"3-5年,硕士,SpringBoot,Spring Boot,Perl,Hadoop,Shell,Java,Python",成方金科,金融科技,融资未公开,段先生,招聘负责人
研发副经理（Java方向）,成都-高新区,,20-40k,"10年以上,统招本科,架构设计,技术支持,技术战略,系统设计,算法设计,Java,消息队列,MySQL",海泰方圆,计算机软件,天使轮,徐先生,招聘经理
JAVA 软件工程师,杭州-余杭区,,12-20k,"3-5年,统招本科,移动开发,架构设计,MySQL,SQL Server,Solr,Oracle",复星北铃(北京)医疗科技有限公司,医疗器械,融资未公开,贾女士,HRBP
JAVA 软件工程师,北京-朝阳区,,15-25k,"3-5年,统招本科,架构设计,移动开发,Solr,MySQL,SQL Server,Oracle",复星北铃(北京)医疗科技有限公司,医疗器械,融资未公开,贾女士,HRBP
java工程师,重庆,,10-15k,"1-3年,本科,系统开发,需求分析,架构设计,关系型数据库,SVN,GIT",芯爱智能,人工智能芯片,50-99人,付女士,行政人事经理
高级java工程师（智能上海）,上海-黄浦区,,21-25k,"5-10年,本科,SpringCloud,工业互联网,Java,Redis,MongoDB",宝通科技,橡塑制品,沪深A股上市,涂女士,人事经理
高级Java开发工程师(苏州)(J10486),苏州-吴江区,,10-15k·14薪,"3-5年,本科,jQuery,Tomcat,J2EE,前端开发,后端开发,Java",善诚科技发展上海,IT服务,100-499人,张女士,招聘担当
java 中级软件开发工程师(科电航宇),成都-青羊区,,15-30k·13薪,"3-5年,本科,通信领域,框架开发,框架设计,后端开发,Qt,消息队列,D语言,QML,UML,Qt Creator",广东省大湾区集成电路与系统应用研究院,芯片/集成电路,100-499人,李女士,招聘主管
Java开发工程师,上海-徐汇区,,17-25k·15薪,"5-10年,本科,后端开发,Spring,框架开发,框架设计,Spring Cloud,模块开发,JVM,Java,Golang,Objective-C",公牛集团,家具/家电,沪深A股上市,左女士,招聘经理
高级java开发工程师,苏州,,17-20k·14薪,"3-5年,大专,架构设计,IT/信息化领域,Docker,Redis,Oracle,MySQL,容器,SQL,Couchbase,消息队列",同程旅行,O2O服务,10000人以上,邱女士,HRBP
java开发工程师,上海-长宁区,,15-18k,"3-5年,本科,模块开发,需求分析,架构设计,Redis",北京瑞友科技股份有限公司,计算机软件,其他,张女士,招聘主管
JAVA系统开发工程师,北京-朝阳区,,15-20k·14薪,"3-5年,本科,jave",旅视万杨,房产开发,融资未公开,刘先生,招聘经理
（医药信息化）Java架构师,上海-徐汇区,,30-45k,"5-10年,统招本科,架构设计,技术战略,Java,SQL,Python,SQL Server",惠每移健(北京)科技有限公司,医疗信息化,100-499人,陈女士,招聘经理
Java游戏开发工程师,广州-天河区,,15-25k,"1-3年,大专,spring,java,mysql,数据库,linux,sql,netty",乐趣无限,社交网络,A轮,叶女士,招聘HR
高级java开发工程师,杭州,,25-45k·15薪,"5-10年,本科,java,mysql,数据库,oracle,linux,sql,saas",硕磐智能,计算机软件,其他,周先生,人力资源总监hrd
中高级Java开发工程师（基础开发平台研发方向）,青岛-市北区,,12-20k,"3-5年,本科,分布式,java,mysql,数据库,oracle,sql,前端开发,docker,vue,jenkins",山东正德弘远软件科技股份有限公司,计算机软件,融资未公开,孙女士,人事
java开发工程师,佛山-禅城区,,15-26k,"5-10年,本科,java",简一陶瓷,房地产/建筑,1000-2000人,陈女士,招聘经理/主管
技术总经理（Java方向）,北京-海淀区,,20-40k,"10年以上,统招本科,java,mysql,算法,oracle,javascript,css,html",海泰方圆,计算机软件,天使轮,徐先生,招聘经理
Java架构师,青岛-李沧区,,10-15k·15薪,"3-5年,统招本科,java",青岛中瑞集团,互联网/电商,2000-5000人,宋女士,HR
资深JAVA工程师（职位编号：LZHR154）,北京,,25-35k,"5-10年,本科,java",朗致集团,制药/生物工程,10000人以上,安女士,应届生
Java开发工程师,天津,,8-12k,"经验不限,学历不限,网络开发,前端开发,Apache,Objective-C,Java,C/C++,C语言",宜科电子,电子/芯片/半导体,500-999人,李女士,
java Leader,上海-闵行区,,25-35k·17薪,"5-10年,统招本科,框架开发,框架设计,架构设计,Tomcat,UML,MySQL,Java,Eclipse,Maven,GIT",某大型互联网公司,互联网/电商,C轮,李先生,猎头顾问
高级java开发工程师,北京-大兴区,,25-40k·13薪,"5-10年,统招本科,java",某大型医药集团,互联网/电商,融资未公开,王女士,猎头顾问
Java工程师（上海，长沙）,上海,,15-20k,"1-3年,大专及以上,模块开发,需求分析,架构设计,Redis,Couchbase,Shell,MySQL,Python,SQL,Unix",某上海计算机软件公司,企业服务软件,天使轮,古女士,猎头顾问
java研发专家（北/上/成/广）,北京,,35-50k·15薪,"经验不限,统招本科,大数据领域,云计算领域,框架设计,框架开发,SQL,UML,MySQL,Java,Unix",某知名云计算公司,计算机软件,5000-10000人,高女士,猎头顾问
java,南京-雨花台区,,18-24k,"3-5年,大专",软通动力,互联网/电商,10000人以上,张女士,招聘顾问
